date	branch	behind_main	ahead_main	patches_not_equivalent_to_main
2026-08-31	origin/dev/interp-coremark-10pct	20	18	0
2026-08-29	origin/dev/interp-eager-postpass-fast-callgate	50	27	0
2026-08-29	origin/dev/manual-startup-ranking	50	3	0
2026-08-29	origin/dev/interp-selective-predecode	50	70	44
2026-08-29	origin/dev/interp-indirect-resolver-fast	50	46	20
2026-08-29	origin/dev/interp-baseline-foundations	50	45	19
2026-08-29	origin/dev/interp-callgate-ranking	50	29	0
2026-08-29	origin/dev/interp-eager-tier-census	50	29	3
2026-08-29	origin/dev/interp-final-profile	50	35	9
2026-08-29	origin/dev/interp-stage-profile	50	33	9
2026-08-29	origin/dev/interp-eager-postpass-fast-reserve	50	28	3
2026-08-29	origin/dev/interp-direct-cell-profile	50	29	6
2026-08-29	origin/dev/interp-eager-postpass-fast-indirect	50	25	0
2026-08-29	origin/dev/interp-eager-fast-indirect	50	24	0
2026-08-29	origin/dev/interp-eager-compact-safe	50	24	1
2026-08-29	origin/dev/interp-eager-stream-link-ranking	50	25	1
2026-08-29	origin/dev/interp-eager-stream-link	50	24	1
2026-08-29	origin/dev/interp-eager-v9-ranking	50	27	3
2026-08-29	origin/dev/interp-eager-v9	50	26	3
2026-08-29	origin/dev/interp-eager-inplace-perfunc-sparse	50	25	2
2026-08-29	origin/dev/interp-eager-inplace-sparse-head	50	22	5
2026-08-29	origin/dev/interp-eager-inplace-per-function	50	23	1
2026-08-29	origin/dev/interp-eager-inplace-per-function-ranking	50	24	0
2026-08-29	origin/dev/interp-eager-v8	50	25	7
2026-08-29	origin/dev/interp-eager-inplace-only-ranking	50	21	3
2026-08-29	origin/dev/interp-eager-inplace-stage2-ranking	50	22	3
2026-08-29	origin/dev/interp-eager-v7-ranking	50	25	6
2026-08-29	origin/dev/interp-eager-inplace-per-function-no-stage2	50	23	0
2026-08-29	origin/dev/interp-eager-inplace-only	50	20	3
2026-08-29	origin/dev/interp-eager-inplace-stage2	50	21	3
2026-08-29	origin/dev/interp-eager-v7	50	24	6
2026-08-29	origin/dev/interp-eager-parser-reserve	50	16	4
2026-08-29	origin/dev/interp-eager-v5	50	15	3
2026-08-29	origin/dev/interp-eager-inplace	50	15	3
2026-08-29	origin/dev/interp-eager-v3-scratch	50	12	0
2026-08-29	origin/dev/interp-eager-v4-stage2	50	13	1
2026-08-29	origin/dev/interp-eager-v4-ranking	50	13	1
2026-08-29	origin/dev/interp-eager-v4	50	12	1
2026-08-29	origin/dev/interp-eager-v3-ranking	50	12	0
2026-08-29	origin/dev/interp-eager-v3	50	11	0
2026-08-29	origin/dev/interp-eager-v2-ranking	50	10	1
2026-08-29	origin/dev/interp-eager-v2	50	9	1
2026-08-29	origin/dev/interp-eager-arena-streaming	50	4	1
2026-08-29	origin/dev/interp-eager-ranking	50	9	3
2026-08-29	origin/dev/interp-eager-integrated	50	8	3
2026-08-29	origin/dev/interp-eager-linkplan	50	4	1
2026-08-29	origin/dev/interp-eager-stack-alloc	50	4	0
2026-08-29	origin/dev/interp-eager-startup	50	3	0
2026-08-29	origin/dev/interp-cold-startup-v2	50	1	1
2026-08-29	origin/revert/pr35-predecode	51	1	0
2026-08-29	origin/dev/interp-cold-startup	53	1	0
2026-08-27	origin/codex/execution-performance	53	1	0
2026-08-27	origin/codex/arm64-lz4-lua-hotpaths	58	5	0
2026-08-06	origin/dev/audit-fixes	66	7	0
2026-08-05	origin/dev/wasmi-report-2026-08-05	66	1	0
2026-08-05	origin/dev/interp-startup	82	9	0
2026-08-05	origin/codex/lz4-lua-performance	86	7	0
2026-08-03	origin/dev/x64-tuning	139	53	0
2026-08-02	origin/dev/probe-counts	140	2	2
2026-08-02	origin/dev/alias-preserve-move	140	0	0
2026-08-02	origin/dev/ci-cleanup	144	2	0
