# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cpu-clock:u'
# Event count (approx.): 9980980971
#
# Overhead  Command  Shared Object     Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
# ........  .......  ................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     5.52%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::optimize_block
     5.42%  current  current           [.] sf_nano_core::vm::jit::middle::joint_plan::build::build_plan
     5.25%  current  current           [.] sf_nano_core::vm::jit::machine::lower_module::lower_function
     4.11%  current  current           [.] sf_nano_core::vm::jit::middle::prepare_function
     3.37%  current  current           [.] <[usize]>::sort_unstable_by::<sf_nano_core::vm::jit::middle::joint_plan::region_solver::extract_feasible_states::{closure#1}>::{closure#0}
     3.28%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::optimize
     2.52%  current  libc.so.6         [.] malloc
     2.40%  current  current           [.] <sf_nano_core::vm::jit::wasm::decode::DecodeContext>::handle_primitive
     2.10%  current  current           [.] sf_nano_core::vm::jit::middle::rewrite::function::rewrite_function
     1.97%  current  libc.so.6         [.] cfree
     1.70%  current  current           [.] <sf_nano_core::op_decoder::Decoder>::decode_one
     1.70%  current  current           [.] sf_nano_core::vm::jit::middle::rewrite::function::apply_inline_prefix
     1.65%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::hoist_loop_address_bases::natural_loop_nodes
     1.44%  current  current           [.] sf_nano_core::vm::jit::machine::lower_cache_layout::compute_block_entry_cache_params
     1.38%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::hoist_loop_address_bases::visit_edges_mut::<sf_nano_core::vm::jit::machine::peephole::hoist_loop_address_bases::try_hoist_one_base::{closure#9}>
     1.34%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::eliminate_dead_params::eliminate_dead_params
     1.29%  current  current           [.] sf_nano_core::vm::jit::middle::ssa_ir::ir::decode_view
     1.25%  current  current           [.] sf_nano_core::vm::jit::middle::joint_plan::region_solver::extract_feasible_states
     1.21%  current  current           [.] <sf_nano_core::vm::jit::wasm::decode::SemanticDecodeHandler as sf_nano_core::op_decoder::OpcodeHandler>::on_stream
     1.17%  current  current           [.] sf_nano_core::vm::jit::middle::cleanup::cleanup_program
     1.14%  current  current           [.] <sf_nano_core::vm::jit::wasm::decode::DecodeContext>::dispatch
     1.12%  current  current           [.] sf_nano_core::vm::jit::middle::ssa_ir::ir::entry_cache_requirements
     1.03%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::forward_stored_values::forward_stored_values::{closure#0}
     1.02%  current  current           [.] sf_nano_core::vm::jit::machine::lower_cache_layout::simulate_block_exit_layout
     1.02%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::reuse_loaded_values::reuse_loaded_values::{closure#0}
     0.78%  current  current           [.] sf_nano_core::vm::jit::middle::rewrite::function::ensure_state_fits_with_cache
     0.74%  current  current           [.] sf_nano_core::vm::jit::arch::common::pipeline::compile_function_impl::<sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend>
     0.73%  current  current           [.] <sf_nano_core::vm::jit::middle::discipline::Window>::ensure_capacity::<sf_nano_core::vm::jit::middle::rewrite::state::EmitDriver>
     0.73%  current  libc.so.6         [.] realloc
     0.72%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::use_value
     0.69%  current  current           [.] <alloc::raw_vec::RawVecInner>::finish_grow
     0.68%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::release_dead_values
     0.68%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::cache_loop_frame_words::block_register_mask
     0.67%  current  libc.so.6         [.] __libc_calloc
     0.60%  current  current           [.] sf_nano_core::vm::jit::middle::rewrite::function::lower_primitive
     0.58%  current  current           [.] <sf_nano_core::vm::jit::machine::machine_ir::inst::MachineInstKind as core::clone::Clone>::clone
     0.56%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::alloc_value_in_bank
     0.55%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::forward_stored_values::forward_stored_values
     0.54%  current  current           [.] <sf_nano_core::vm::jit::middle::rewrite::state::BlockState>::push_result_with_alias
     0.53%  current  current           [.] sf_nano_core::vm::jit::middle::discipline::structural_action
     0.53%  current  libc.so.6         [.] 0x00000000000a9bdb
     0.52%  current  current           [.] sf_nano_core::vm::jit::machine::optimize::optimize_function
     0.50%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::alloc_value_in_bank_reusing_dead_inputs
     0.49%  current  current           [.] sf_nano_core::vm::jit::wasm::sir::primitive_op::constant_stack_effect
     0.46%  current  current           [.] sf_nano_core::vm::jit::middle::joint_plan::region_solver::solve_bank
     0.45%  current  current           [.] <sf_nano_core::vm::jit::middle::discipline::Window>::effective_live_units
     0.45%  current  current           [.] <sf_nano_core::vm::jit::wasm::decode::DecodeContext>::push_op::<sf_nano_core::vm::jit::wasm::sir::semantic_ir::SemanticOpKind>
     0.45%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::eliminate_dead_params::eliminate_dead_params::{closure#6}
     0.45%  current  current           [.] sf_nano_core::vm::jit::middle::rewrite::function::collect_local_slot_info
     0.42%  current  current           [.] sf_nano_core::vm::jit::machine::lower_cache_layout::assign_bank_layouts_from_root
     0.38%  current  current           [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::lower_edge
     0.37%  current  current           [.] <sf_nano_core::vm::jit::middle::rewrite::function::ProgramBuilder>::intern_primitive
     0.37%  current  current           [.] sf_nano_core::vm::jit::machine::peephole::relax_index_extends::advance_clean_state
     0.37%  current  libc.so.6         [.] 0x00000000000a9bc3
     0.36%  current  libc.so.6         [.] 0x0000000000188f07
     0.34%  current  current           [.] sf_nano_core::vm::jit::machine::lower_context::record_explicit_cached_cell
     0.34%  current  current           [.] sf_nano_core::vm::jit::middle::rewrite::function::edge_to_target
     0.33%  current  current           [.] core::slice::sort::unstable::quicksort::quicksort::<usize, <[usize]>::sort_unstable_by<sf_nano_core::vm::jit::middle::joint_plan::region_solver::extract_feasible_states::{closure#1}>::{closure#0}>
     0.32%  current  current           [.] sf_nano_core::vm::jit::middle::rewrite::function::lower_local_get
