# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cpu-clock:u'
# Event count (approx.): 9865865856
#
# Overhead  Command  Shared Object     Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  .......  ................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     5.57%  main     main              [.] sf_nano_core::vm::jit::middle::joint_plan::build::build_plan
     4.98%  main     main              [.] sf_nano_core::vm::jit::machine::lower_module::lower_function
     4.47%  main     main              [.] sf_nano_core::vm::jit::machine::peephole::optimize_block
     4.36%  main     main              [.] sf_nano_core::vm::jit::middle::prepare_function
     3.38%  main     main              [.] sf_nano_core::vm::jit::machine::peephole::optimize
     3.26%  main     main              [.] <[usize]>::sort_unstable_by::<sf_nano_core::vm::jit::middle::joint_plan::region_solver::extract_feasible_states::{closure#1}>::{closure#0}
     2.68%  main     main              [.] <sf_nano_core::vm::jit::wasm::decode::DecodeContext>::handle_primitive
     2.63%  main     libc.so.6         [.] malloc
     2.34%  main     main              [.] sf_nano_core::vm::jit::middle::rewrite::function::rewrite_function
     1.98%  main     libc.so.6         [.] cfree
     1.70%  main     main              [.] sf_nano_core::vm::jit::machine::peephole::eliminate_dead_params::eliminate_dead_params
     1.59%  main     main              [.] <sf_nano_core::op_decoder::Decoder>::decode_one
     1.56%  main     main              [.] sf_nano_core::vm::jit::machine::lower_cache_layout::compute_block_entry_cache_params
     1.45%  main     main              [.] sf_nano_core::vm::jit::middle::ssa_ir::ir::decode_view
     1.39%  main     main              [.] sf_nano_core::vm::jit::machine::peephole::hoist_loop_address_bases::visit_edges_mut::<sf_nano_core::vm::jit::machine::peephole::hoist_loop_address_bases::try_hoist_one_base::{closure#9}>
     1.37%  main     main              [.] sf_nano_core::vm::jit::middle::rewrite::function::apply_inline_prefix
     1.30%  main     main              [.] sf_nano_core::vm::jit::middle::joint_plan::region_solver::extract_feasible_states
     1.13%  main     main              [.] sf_nano_core::vm::jit::machine::peephole::reuse_loaded_values::reuse_loaded_values::{closure#0}
     1.12%  main     main              [.] <sf_nano_core::vm::jit::wasm::decode::DecodeContext>::dispatch
     1.12%  main     main              [.] <sf_nano_core::vm::jit::wasm::decode::SemanticDecodeHandler as sf_nano_core::op_decoder::OpcodeHandler>::on_stream
     1.03%  main     main              [.] sf_nano_core::vm::jit::machine::peephole::hoist_loop_address_bases::natural_loop_nodes
     0.99%  main     main              [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::use_value
     0.97%  main     main              [.] sf_nano_core::vm::jit::machine::lower_cache_layout::simulate_block_exit_layout
     0.97%  main     main              [.] sf_nano_core::vm::jit::middle::cleanup::cleanup_program
     0.89%  main     main              [.] sf_nano_core::vm::jit::middle::rewrite::function::ensure_state_fits_with_cache
     0.88%  main     main              [.] sf_nano_core::vm::jit::middle::ssa_ir::ir::entry_cache_requirements
     0.84%  main     main              [.] sf_nano_core::vm::jit::machine::peephole::forward_stored_values::forward_stored_values::{closure#0}
     0.78%  main     main              [.] <sf_nano_core::vm::jit::machine::lower_context::BlockLowerContext>::release_dead_values
     0.77%  main     main              [.] <alloc::raw_vec::RawVecInner>::finish_grow
     0.76%  main     main              [.] <sf_nano_core::vm::jit::middle::discipline::Window>::ensure_capacity::<sf_nano_core::vm::jit::middle::rewrite::state::EmitDriver>
     0.76%  main     main              [.] sf_nano_core::vm::jit::middle::rewrite::function::collect_local_slot_info
     0.74%  main     libc.so.6         [.] realloc
     0.69%  main     main              [.] <sf_nano_core::vm::jit::middle::rewrite::state::BlockState>::push_result_with_alias
     0.67%  main     libc.so.6         [.] __libc_calloc
     0.67%  main     main              [.] sf_nano_core::vm::jit::arch::common::pipeline::compile_function_impl::<sf_nano_core::vm::jit::arch::x86_64::backend::X86_64Backend>
     0.60%  main     main              [.] sf_nano_core::vm::jit::middle::rewrite::function::lower_primitive
     0.58%  main     main              [.] <sf_nano_core::vm::jit::middle::discipline::Window>::effective_live_units
     0.57%  main     main              [.] sf_nano_core::vm::jit::machine::optimize::optimize_function
     0.57%  main     main              [.] sf_nano_core::vm::jit::wasm::sir::primitive_op::constant_stack_effect
